context,groups,weighted_mode_share,weighted_entropy_bits,median_group_pitches
pitcher,100,0.38240577937466547,2.106487233087463,2121.5
pitcher_count,1200,0.4129558137757052,2.0024150652978174,152.0
pitcher_prev,682,0.40388253956119563,2.036480270492892,260.0
pitcher_count_prev,5897,0.44462865988838773,1.8827261639981088,19.0
pitcher_count_prev_stand,10529,0.4740749942664934,1.7259693790386588,10.0
