pitcher_name,pitch_type,pitches,avg_release_speed,avg_release_spin_rate,whiff_rate,weak_contact_rate,whiff_or_weak_rate,mean_pitcher_run_value,pitch_label,pitcher_total_pitches,usage_rate,in_arsenal,arsenal_size
Andre Pallante,FF,1199,94.46680567139282,2306.8723936613846,0.06755629691409508,0.13427856547122602,0.2018348623853211,-0.00807506255212677,4-seam fastball (FF),2720,0.44080882352941175,True,4
Andre Pallante,SL,774,87.39612403100776,2404.7131782945735,0.15633074935400518,0.1020671834625323,0.25839793281653745,0.004891472868217055,slider (SL),2720,0.28455882352941175,True,4
Andre Pallante,KC,381,78.19370078740157,2804.0839895013123,0.12598425196850394,0.04199475065616798,0.1679790026246719,-0.013753280839895014,knuckle curve (KC),2720,0.1400735294117647,True,4
Andre Pallante,SI,363,94.97217630853994,2192.559228650138,0.07713498622589532,0.18457300275482094,0.26170798898071623,0.003523415977961432,sinker (SI),2720,0.13345588235294117,True,4
Andre Pallante,ST,3,82.96666666666667,2554.3333333333335,0.0,0.0,0.0,-0.01966666666666667,sweeper (ST),2720,0.0011029411764705882,False,4
Andrew Abbott,FF,1263,92.7833729216152,2274.95,0.09422011084718923,0.10134600158353127,0.1955661124307205,0.01188756927949327,4-seam fastball (FF),2677,0.4717967874486365,True,5
Andrew Abbott,CH,526,84.82167300380227,1984.0342205323193,0.13688212927756654,0.16730038022813687,0.3041825095057034,0.006551330798479089,changeup (CH),2677,0.1964886066492342,True,5
Andrew Abbott,ST,465,82.66989247311828,2791.341935483871,0.1870967741935484,0.11612903225806452,0.3032258064516129,0.008030107526881722,sweeper (ST),2677,0.17370190511766903,True,5
Andrew Abbott,CU,308,80.5646103896104,2790.9577922077924,0.08766233766233766,0.09090909090909091,0.17857142857142858,-0.004149350649350648,curveball (CU),2677,0.11505416511019799,True,5
Andrew Abbott,FC,115,88.64869565217391,2523.8608695652174,0.1391304347826087,0.06956521739130435,0.20869565217391303,-0.034234782608695655,cutter (FC),2677,0.042958535674262235,True,5
Andrew Heaney,FF,909,90.1020902090209,2375.079207920792,0.0858085808580858,0.09130913091309131,0.1771177117711771,-0.01227062706270627,4-seam fastball (FF),2082,0.4365994236311239,True,6
Andrew Heaney,CH,361,82.0005540166205,2107.1828254847646,0.09695290858725762,0.1523545706371191,0.24930747922437674,-0.00034072022160664913,changeup (CH),2082,0.1733909702209414,True,6
Andrew Heaney,SL,346,80.53468208092485,2475.28323699422,0.14739884393063585,0.08670520231213873,0.23410404624277456,-0.023421965317919072,slider (SL),2082,0.16618635926993275,True,6
Andrew Heaney,SI,234,89.22393162393163,2363.3888888888887,0.05128205128205128,0.14957264957264957,0.20085470085470086,-0.00218803418803419,sinker (SI),2082,0.11239193083573487,True,6
Andrew Heaney,CU,120,76.825,2606.675,0.09166666666666666,0.1,0.19166666666666668,-0.015633333333333336,curveball (CU),2082,0.05763688760806916,True,6
Andrew Heaney,CS,112,73.46428571428571,2507.2946428571427,0.08928571428571429,0.044642857142857144,0.13392857142857142,-0.021089285714285717,CS (CS),2082,0.053794428434197884,True,6
Antonio Senzatela,FF,1299,95.01747498075443,2228.732871439569,0.06235565819861432,0.11239414934565051,0.1747498075442648,-0.01635642802155504,4-seam fastball (FF),2284,0.568739054290718,True,5
Antonio Senzatela,SL,412,86.77354368932038,2288.8519417475727,0.12378640776699029,0.11407766990291263,0.23786407766990292,-0.01470388349514563,slider (SL),2284,0.18038528896672504,True,5
Antonio Senzatela,CU,339,80.39351032448378,2462.5634218289088,0.12094395280235988,0.10029498525073746,0.22123893805309736,-0.004061946902654867,curveball (CU),2284,0.14842381786339756,True,5
Antonio Senzatela,CH,180,87.61111111111111,2200.4777777777776,0.08888888888888889,0.1111111111111111,0.2,-0.04904444444444444,changeup (CH),2284,0.07880910683012259,True,5
Antonio Senzatela,FC,42,91.20238095238095,2263.0238095238096,0.07142857142857142,0.19047619047619047,0.2619047619047619,-0.022690476190476188,cutter (FC),2284,0.01838879159369527,True,5
Antonio Senzatela,SI,12,92.20833333333333,2001.9166666666667,0.08333333333333333,0.25,0.3333333333333333,-0.20866666666666667,sinker (SI),2284,0.005253940455341506,False,5
Bailey Ober,FF,846,90.2514184397163,2288.695035460993,0.09219858156028368,0.12411347517730496,0.21631205673758866,0.0006560283687943259,4-seam fastball (FF),2356,0.35908319185059423,True,6
Bailey Ober,CH,681,83.29221732745962,2028.7342143906021,0.1644640234948605,0.1395007342143906,0.3039647577092511,0.005140969162995595,changeup (CH),2356,0.2890492359932088,True,6
Bailey Ober,SL,418,83.67918660287081,2029.8397129186603,0.11961722488038277,0.13875598086124402,0.2583732057416268,-0.01905023923444976,slider (SL),2356,0.1774193548387097,True,6
Bailey Ober,ST,253,78.41581027667985,2099.086956521739,0.18181818181818182,0.07905138339920949,0.2608695652173913,-0.015584980237154152,sweeper (ST),2356,0.10738539898132428,True,6
Bailey Ober,CU,83,75.11204819277108,2093.1807228915663,0.08433734939759036,0.03614457831325301,0.12048192771084337,-0.0466144578313253,curveball (CU),2356,0.03522920203735144,True,6
Bailey Ober,SI,75,90.328,2115.3733333333334,0.013333333333333334,0.12,0.13333333333333333,-0.06549333333333335,sinker (SI),2356,0.03183361629881155,True,6
Brad Lord,FF,1032,94.75436046511628,2329.829457364341,0.12887596899224807,0.07945736434108527,0.20833333333333334,-0.003006782945736435,4-seam fastball (FF),2128,0.4849624060150376,True,4
Brad Lord,SL,430,85.52744186046512,2512.320930232558,0.11162790697674418,0.10465116279069768,0.21627906976744185,-0.018346511627906976,slider (SL),2128,0.20206766917293234,True,4
Brad Lord,SI,384,94.34713541666667,2223.375,0.049479166666666664,0.1484375,0.19791666666666666,0.014864583333333332,sinker (SI),2128,0.18045112781954886,True,4
Brad Lord,CH,278,85.88920863309353,1956.68345323741,0.09352517985611511,0.15827338129496402,0.2517985611510791,0.001748201438848921,changeup (CH),2128,0.13063909774436092,True,4
Brad Lord,ST,3,82.3,2663.6666666666665,0.0,0.0,0.0,-0.30033333333333334,sweeper (ST),2128,0.0014097744360902255,False,4
Brad Lord,UN,1,76.9,1909.0,0.0,0.0,0.0,-0.068,UN (UN),2128,0.00046992481203007516,False,4
Brady Singer,SI,1157,92.195246326707,2361.866032843561,0.06482281763180639,0.07605877268798616,0.14088159031979255,-0.004836646499567848,sinker (SI),2850,0.40596491228070175,True,5
Brady Singer,SL,809,82.59542645241038,2433.941903584672,0.1446229913473424,0.12855377008652658,0.273176761433869,0.010071693448702101,slider (SL),2850,0.28385964912280703,True,5
Brady Singer,ST,316,81.62183544303798,2418.3386075949365,0.16772151898734178,0.10126582278481013,0.2689873417721519,-0.0017784810126582266,sweeper (ST),2850,0.11087719298245614,True,5
Brady Singer,FF,304,91.29605263157895,2443.121710526316,0.09539473684210527,0.0625,0.15789473684210525,-0.011,4-seam fastball (FF),2850,0.10666666666666667,True,5
Brady Singer,FC,264,87.47878787878788,2344.314393939394,0.10984848484848485,0.0946969696969697,0.20454545454545456,0.00384090909090909,cutter (FC),2850,0.09263157894736843,True,5
Brandon Pfaadt,SI,685,93.13591240875913,2424.911894273128,0.051094890510948905,0.11240875912408758,0.1635036496350365,0.006051094890510948,sinker (SI),2920,0.2345890410958904,True,6
Brandon Pfaadt,FF,682,93.61363636363636,2568.8869309838474,0.09824046920821114,0.07038123167155426,0.16862170087976538,-0.004032258064516128,4-seam fastball (FF),2920,0.23356164383561645,True,6
Brandon Pfaadt,ST,542,84.74778597785978,2843.175925925926,0.16974169741697417,0.10516605166051661,0.27490774907749077,-0.015754612546125462,sweeper (ST),2920,0.18561643835616437,True,6
Brandon Pfaadt,CH,457,87.30568927789933,2114.004376367615,0.14660831509846828,0.13129102844638948,0.2778993435448578,-0.004317286652078775,changeup (CH),2920,0.1565068493150685,True,6
Brandon Pfaadt,CU,285,82.03684210526316,2673.063157894737,0.14385964912280702,0.0456140350877193,0.18947368421052632,-0.034091228070175436,curveball (CU),2920,0.0976027397260274,True,6
Brandon Pfaadt,FC,267,89.75955056179775,2757.498127340824,0.0599250936329588,0.1947565543071161,0.2546816479400749,0.01449438202247191,cutter (FC),2920,0.09143835616438356,True,6
Brandon Pfaadt,PO,2,91.0,2504.0,0.0,0.0,0.0,-0.027000000000000003,PO (PO),2920,0.0006849315068493151,False,6
Brayan Bello,SI,943,95.30159066808059,2121.4655355249206,0.044538706256627786,0.12513255567338283,0.16967126193001061,0.0076330858960763515,sinker (SI),2697,0.3496477567667779,True,5
Brayan Bello,ST,513,85.6766081871345,2475.510721247563,0.1189083820662768,0.07992202729044834,0.19883040935672514,-0.0031442495126705653,sweeper (ST),2697,0.19021134593993325,True,5
Brayan Bello,FC,423,88.24137115839243,2479.2624113475176,0.11347517730496454,0.09929078014184398,0.2127659574468085,0.0021583924349881803,cutter (FC),2697,0.1568409343715239,True,5
Brayan Bello,CH,410,88.7870731707317,1841.6756097560976,0.16341463414634147,0.12682926829268293,0.29024390243902437,-0.003397560975609757,changeup (CH),2697,0.15202076381164256,True,5
Brayan Bello,FF,408,95.07598039215686,2160.5,0.07352941176470588,0.11764705882352941,0.19117647058823528,-0.0031593137254901974,4-seam fastball (FF),2697,0.15127919911012236,True,5
Bryan Woo,FF,1284,95.71985981308411,2296.0546318289785,0.16510903426791276,0.08878504672897196,0.2538940809968847,0.016537383177570093,4-seam fastball (FF),2714,0.47310243183493,True,5
Bryan Woo,SI,693,95.4125541125541,2302.6521739130435,0.05483405483405483,0.1645021645021645,0.21933621933621933,0.012197691197691197,sinker (SI),2714,0.25534266764922625,True,5
Bryan Woo,SL,299,88.3705685618729,2246.5384615384614,0.18729096989966554,0.06354515050167224,0.2508361204013378,0.0018628762541806026,slider (SL),2714,0.11016949152542373,True,5
Bryan Woo,ST,245,84.9,2485.745901639344,0.2163265306122449,0.09795918367346938,0.3142857142857143,-0.0040612244897959195,sweeper (ST),2714,0.09027266028002948,True,5
Bryan Woo,CH,193,89.60725388601037,1826.717277486911,0.10362694300518134,0.14507772020725387,0.24870466321243523,-0.0052383419689119165,changeup (CH),2714,0.07111274871039057,True,5
Bryce Elder,SI,1059,91.46874409820585,2093.2020774315392,0.06043437204910293,0.1048158640226629,0.1652502360717658,-0.006864022662889518,sinker (SI),2514,0.4212410501193317,True,4
Bryce Elder,SL,883,84.2682899207248,2491.408833522084,0.16874292185730463,0.12004530011325028,0.2887882219705549,0.0010928652321630795,slider (SL),2514,0.35123309466984887,True,4
Bryce Elder,FF,309,92.79029126213592,2226.126213592233,0.08414239482200647,0.09385113268608414,0.1779935275080906,-0.0007443365695792885,4-seam fastball (FF),2514,0.12291169451073986,True,4
Bryce Elder,CH,263,86.60342205323194,2175.4752851711028,0.08745247148288973,0.14068441064638784,0.22813688212927757,-0.030992395437262357,changeup (CH),2514,0.10461416070007955,True,4
Cal Quantrill,SI,442,93.65067873303167,2104.425339366516,0.06334841628959276,0.11085972850678733,0.17420814479638008,-0.0006131221719457024,sinker (SI),2004,0.22055888223552894,True,6
Cal Quantrill,FC,432,88.91319444444444,2304.5300925925926,0.1087962962962963,0.09953703703703703,0.20833333333333334,0.006962962962962963,cutter (FC),2004,0.2155688622754491,True,6
Cal Quantrill,FS,419,86.3417661097852,1122.9856801909307,0.11694510739856802,0.1288782816229117,0.2458233890214797,-0.01890453460620525,splitter (FS),2004,0.2090818363273453,True,6
Cal Quantrill,FF,301,93.65548172757475,2145.485049833887,0.08970099667774087,0.07641196013289037,0.16611295681063123,-0.009737541528239203,4-seam fastball (FF),2004,0.1501996007984032,True,6
Cal Quantrill,CU,233,80.03347639484979,2527.3476394849786,0.11158798283261803,0.12446351931330472,0.23605150214592274,-0.0054978540772532185,curveball (CU),2004,0.11626746506986028,True,6
Cal Quantrill,SL,168,85.00654761904762,2440.8571428571427,0.07142857142857142,0.07738095238095238,0.1488095238095238,-0.053238095238095244,slider (SL),2004,0.08383233532934131,True,6
Cal Quantrill,CH,6,87.83333333333333,1706.5,0.0,0.0,0.0,0.02466666666666666,changeup (CH),2004,0.0029940119760479044,False,6
Cal Quantrill,CS,3,72.36666666666667,2244.0,0.0,0.3333333333333333,0.3333333333333333,0.05566666666666666,CS (CS),2004,0.0014970059880239522,False,6
Carlos Rodón,FF,1343,94.12643335815339,2347.2945563012677,0.09158600148920328,0.08786299329858525,0.17944899478778853,0.005268801191362621,4-seam fastball (FF),3212,0.4181195516811955,True,5
Carlos Rodón,SL,912,85.89572368421052,2632.6200440528632,0.18640350877192982,0.09320175438596491,0.27960526315789475,0.013060307017543859,slider (SL),3212,0.28393524283935245,True,5
Carlos Rodón,CH,519,84.99942196531791,1649.7437379576108,0.18497109826589594,0.14258188824662812,0.32755298651252407,0.012001926782273601,changeup (CH),3212,0.1615815691158157,True,5
Carlos Rodón,SI,310,91.9441935483871,2255.822006472492,0.14193548387096774,0.1064516129032258,0.24838709677419354,0.013551612903225806,sinker (SI),3212,0.09651307596513076,True,5
Carlos Rodón,CU,123,80.33414634146342,2717.1951219512193,0.08130081300813008,0.04878048780487805,0.13008130081300814,-0.016430894308943088,curveball (CU),3212,0.03829389788293898,True,5
Carlos Rodón,FC,5,92.38,2382.8,0.0,0.4,0.4,0.0938,cutter (FC),3212,0.001556662515566625,False,5
Casey Mize,FF,790,94.59772151898734,2251.188607594937,0.08987341772151898,0.09620253164556962,0.1860759493670886,-0.002646835443037975,4-seam fastball (FF),2353,0.3357416064598385,True,5
Casey Mize,FS,569,88.59472759226713,1445.4042179261862,0.20210896309314588,0.12478031634446397,0.3268892794376098,-0.018922671353251316,splitter (FS),2353,0.24181895452613686,True,5
Casey Mize,SL,384,88.16067708333333,2188.4244791666665,0.08333333333333333,0.11458333333333333,0.19791666666666666,0.0101015625,slider (SL),2353,0.16319592010199746,True,5
Casey Mize,SV,313,83.62651757188497,2276.220447284345,0.13738019169329074,0.0926517571884984,0.23003194888178913,-0.007840255591054314,slurve (SV),2353,0.13302167445813853,True,5
Casey Mize,SI,297,94.77306397306397,2216.245791245791,0.06734006734006734,0.18181818181818182,0.24915824915824916,0.0049057239057239055,sinker (SI),2353,0.12622184445388865,True,5
Charlie Morton,CU,976,81.44006147540983,3163.0860655737706,0.1864754098360656,0.09733606557377049,0.2838114754098361,-0.0011086065573770495,curveball (CU),2548,0.38304552590266877,True,5
Charlie Morton,FF,702,94.21339031339032,2322.448717948718,0.09259259259259259,0.07407407407407407,0.16666666666666666,-0.0194985754985755,4-seam fastball (FF),2548,0.2755102040816326,True,5
Charlie Morton,SI,385,94.01350649350648,2219.574025974026,0.06493506493506493,0.12207792207792208,0.18701298701298702,-0.017218181818181817,sinker (SI),2548,0.1510989010989011,True,5
Charlie Morton,CH,253,87.51620553359683,1815.205533596838,0.1422924901185771,0.11067193675889328,0.25296442687747034,-0.018213438735177865,changeup (CH),2548,0.09929356357927786,True,5
Charlie Morton,FC,232,88.03534482758621,2512.814655172414,0.10775862068965517,0.08189655172413793,0.1896551724137931,-0.0003793103448275868,cutter (FC),2548,0.09105180533751962,True,5
Chris Bassitt,SI,1179,91.5657336726039,2102.082482993197,0.06785411365564037,0.11535199321458864,0.183206106870229,0.0017557251908396946,sinker (SI),2829,0.41675503711558853,True,8
Chris Bassitt,FC,476,88.54747899159663,2223.577731092437,0.14285714285714285,0.1092436974789916,0.25210084033613445,-0.0029264705882352947,cutter (FC),2829,0.1682573347472605,True,8
Chris Bassitt,CU,458,71.28733624454148,2276.636761487965,0.14192139737991266,0.1222707423580786,0.26419213973799127,0.011196506550218342,curveball (CU),2829,0.16189466242488512,True,8
Chris Bassitt,FF,264,91.47348484848484,2149.625,0.10984848484848485,0.09090909090909091,0.20075757575757575,0.00035984848484848494,4-seam fastball (FF),2829,0.09331919406150584,True,8
Chris Bassitt,ST,164,72.56524390243902,2334.9573170731705,0.27439024390243905,0.0975609756097561,0.3719512195121951,0.01823780487804878,sweeper (ST),2829,0.057971014492753624,True,8
Chris Bassitt,CH,104,84.4701923076923,1829.2211538461538,0.07692307692307693,0.11538461538461539,0.19230769230769232,-0.012105769230769229,changeup (CH),2829,0.0367621067515023,True,8
Chris Bassitt,FS,101,83.38910891089108,1303.4356435643565,0.07920792079207921,0.09900990099009901,0.1782178217821782,-0.05086138613861386,splitter (FS),2829,0.03570166136443973,True,8
Chris Bassitt,SL,83,83.60843373493977,2369.1807228915663,0.060240963855421686,0.04819277108433735,0.10843373493975904,-0.06163855421686747,slider (SL),2829,0.029338989042064334,True,8
Chris Paddack,FF,1109,93.67186654643824,2244.6997294860234,0.09738503155996393,0.1036970243462579,0.20108205590622183,0.0027989179440937773,4-seam fastball (FF),2565,0.4323586744639376,True,6
