pitcher_name,feature,CH,CS,CU,FC,FF,FS,KC,SI,SL,ST,SV
Andre Pallante,count_0-1,,,,,0.5265774166508362,,0.0428752651649547,-0.1438151203813901,-0.4179997183175498,,
Andre Pallante,count_0-2,,,,,0.31295236901206536,,0.26607692167586405,-0.24173818656266077,-0.3474392420047202,,
Andre Pallante,count_1-0,,,,,0.6047338083305059,,-0.062285293681989755,-0.23883180400127957,-0.3022528611428703,,
Andre Pallante,count_1-1,,,,,0.4069968350501522,,0.009260519763536465,-0.13454890873964814,-0.2782943049400036,,
Andre Pallante,count_1-2,,,,,0.2954767141870761,,0.22848895791268609,-0.2124104832027445,-0.3128163087505965,,
Andre Pallante,count_2-0,,,,,0.6529706259824365,,-0.1025026919066492,-0.26947487583088786,-0.28046282920475335,,
Andre Pallante,count_2-1,,,,,0.5681009838093518,,-0.07362979223300058,-0.22745569843910796,-0.26386286313669505,,
Andre Pallante,count_2-2,,,,,0.39773401240897804,,0.056139497423464586,-0.18834684988051975,-0.26268555098726537,,
Andre Pallante,count_3-0,,,,,0.8252548871441099,,-0.1206595773982453,-0.2594591603164963,-0.4447081785230734,,
Andre Pallante,count_3-1,,,,,0.7249356824045441,,-0.11606563190807734,-0.18958132805842198,-0.41561337437345985,,
Andre Pallante,count_3-2,,,,,0.5858741211177676,,-0.07630966529312092,-0.22256634601585268,-0.285412862717592,,
Andre Pallante,intercept,,,,,0.09413068565503291,,0.21364975522055882,0.17289286984014426,0.5192612850506022,,
Andre Pallante,prev_description_ball,,,,,0.055966739482481084,,-0.08299186742829293,0.04115102190199525,-0.013037824574307213,,
Andre Pallante,prev_description_blocked_ball,,,,,-0.004892027703728021,,-0.056749049569755,0.0434874861251583,0.02145653994415513,,
Andre Pallante,prev_description_called_strike,,,,,-0.1264254673619283,,-0.052975924428831596,0.035129393855229916,0.13488834805467073,,
Andre Pallante,prev_description_foul,,,,,-0.008918172561024718,,-0.06697797374756825,0.041797335382742384,0.035756778316656336,,
Andre Pallante,prev_description_foul_bunt,,,,,-0.12066533198002154,,0.04034254106636455,0.0048496739040087685,0.07078508853732872,,
Andre Pallante,prev_description_foul_tip,,,,,-0.08784229477097126,,-0.011423319167395233,-0.0331643336266478,0.13209345112891072,,
Andre Pallante,prev_description_swinging_strike,,,,,-0.0887022207909671,,0.02340030376318579,-0.021508652512116838,0.0888092493601109,,
Andre Pallante,prev_description_swinging_strike_blocked,,,,,-0.2634659187660288,,0.27735370599746106,0.08593968999164522,-0.09496656336879396,,
Andre Pallante,prev_pitch_type_KC,,,,,0.022698900556637768,,-0.059180947900691575,0.011639426368608605,0.018280837905124168,,
Andre Pallante,prev_pitch_type_SI,,,,,-0.04342671992453953,,0.08134267601479263,-0.1021187188103853,0.06525164373955075,,
Andre Pallante,prev_pitch_type_SL,,,,,0.015628242005281772,,0.02834394467612006,0.03671432949977175,-0.08225827577744371,,
Andre Pallante,prev_pitch_type_ST,,,,,-0.12004763122105014,,-0.23817826630325706,0.06961862779644445,0.2930487289831032,,
Andre Pallante,prev_pitch_type_START,,,,,0.6449446944521532,,-0.06997841648516243,-0.19768161502200549,-0.37578506739871187,,
Andre Pallante,stand_R,,,,,-0.34380918843800096,,-0.08138604505325234,0.26362054918314165,0.15877664349113527,,
Andrew Abbott,count_0-1,0.039017718873180514,,0.007446701350515719,0.016249349661429806,-0.07729242503843364,,,,,0.014578655153307913,
Andrew Abbott,count_0-2,0.03775577012503441,,-0.021443437641826452,-0.033628984508739856,-0.1113738254616401,,,,,0.12869047748717236,
Andrew Abbott,count_1-0,-0.06803094287189723,,0.06516832523524443,0.008373920208447917,-0.022554204967047888,,,,,0.017042902395252614,
Andrew Abbott,count_1-1,0.08047142203901404,,-0.00027535138526044384,0.013509265607809027,-0.13489123420333932,,,,,0.041185897941776524,
Andrew Abbott,count_1-2,-0.005354171429519407,,-0.0035350973440644094,-0.042591160401089435,-0.08200745846940294,,,,,0.13348788764407507,
Andrew Abbott,count_2-0,0.10147023097078355,,-0.013188880835980094,0.055034982446673056,-0.04181477821070034,,,,,-0.1015015543707745,
Andrew Abbott,count_2-1,0.06691647900284305,,0.04403995799304995,0.03888824161254982,-0.14734579276069404,,,,,-0.0024988858477483114,
Andrew Abbott,count_2-2,0.07002686317088755,,-0.025302249068032582,-0.007611068900253884,-0.15650532618216983,,,,,0.11939178097956873,
Andrew Abbott,count_3-0,-0.2107245675467483,,-0.06945412623822986,-0.041887858230753215,0.4763975052143266,,,,,-0.15433095319859666,
Andrew Abbott,count_3-1,-0.16286701581015717,,-0.030492103023139094,0.030207079054701304,0.25096486734258616,,,,,-0.08781282756399131,
Andrew Abbott,count_3-2,-0.006821613307203476,,-0.05576359833538526,-0.02168984509010873,0.1189057809233895,,,,,-0.03463072419069193,
Andrew Abbott,intercept,-0.08544593724867236,,0.04556343998831765,0.01232261058877819,0.5872138685582957,,,,,0.44034601811328067,
Andrew Abbott,prev_description_ball,0.09796185298224186,,-0.04086845902605032,-0.005808461090314044,0.037591190920290785,,,,,-0.08887612378616831,
Andrew Abbott,prev_description_blocked_ball,0.14777537001773006,,-0.06190528203728461,0.018066385811139386,-0.0002128295168594435,,,,,-0.10372364427472552,
Andrew Abbott,prev_description_called_strike,0.05336852611174368,,-0.004650125171787054,0.008604415910252116,-0.005543357294362063,,,,,-0.051779459555846494,
