pitcher_name,CH,CS,CU,FC,FF,FS,KC,SI,SL,ST,SV
Andre Pallante,0.0,0.0,0.0,0.0,-0.34380918843800096,0.0,-0.08138604505325234,0.26362054918314165,0.15877664349113527,0.0,0.0
Andrew Abbott,0.24838701874113644,0.0,0.06964608488530394,0.0465321894830808,-0.05701145116480146,0.0,0.0,0.0,0.0,-0.3075538419447195,0.0
Andrew Heaney,0.15969874301614806,0.05165066348595762,-0.026016008631247013,0.0,0.07566870378935402,0.0,0.0,-0.16987587138442073,-0.09112623027579175,0.0,0.0
Antonio Senzatela,-0.11053145190391635,0.0,-0.056747248815804334,0.005367950237360612,-0.042514027379626916,0.0,0.0,0.0,0.19932685053309496,0.0,0.0
Bailey Ober,-0.13167878709846145,0.0,-0.030736070645167216,0.0,-0.102699685806562,0.0,0.0,0.060745354290185384,0.07004559119365619,0.13432359806634916,0.0
Brad Lord,-0.162870246547437,0.0,0.0,0.0,-0.13162830887272015,0.0,0.0,0.16702692711164344,0.12569565741725156,0.0,0.0
Brady Singer,0.0,0.0,0.0,-0.03811183423935936,-0.019130447595663985,0.0,0.0,-0.014193144575130698,0.007213909563297237,0.06422151684685665,0.0
Brandon Pfaadt,-0.16707935360037274,0.0,-0.08276958732559725,-0.040576836406053335,-0.07744739315798035,0.0,0.0,0.17445416920333487,0.0,0.19472397541310588,0.0
Brayan Bello,-0.1940244642861932,0.0,0.0,-0.04237447598023158,-0.11888677109237264,0.0,0.0,0.2543946485863053,0.0,0.10089106277249246,0.0
Bryan Woo,-0.11703259543695935,0.0,0.0,0.0,-0.2061647364142897,0.0,0.0,0.25723078899169544,-0.01962037701865196,0.08558691987820502,0.0
Bryce Elder,-0.09818518514920226,0.0,0.0,0.0,-0.18051782520647106,0.0,0.0,0.21677586874764468,0.061927141608029174,0.0,0.0
Cal Quantrill,0.0,0.0,0.009971558586394393,-0.14002987590568608,-0.0069052806114708945,-0.11994415168846281,0.0,0.10308196260323964,0.14990752162150825,0.0,0.0
Carlos Rodón,0.19255389215728044,0.0,0.04692625878716915,0.0,0.12548291575705695,0.0,0.0,-0.2645053191722076,-0.09220988858413606,0.0,0.0
Casey Mize,0.0,0.0,0.0,0.0,-0.17022432464481096,-0.17363181298361682,0.0,0.2842341272119046,-0.0881279031644022,0.0,0.1477499135809256
Charlie Morton,-0.09881766315927698,0.0,-0.09040478771729532,0.058861513815718525,-0.0451357065012634,0.0,0.0,0.17549664356211706,0.0,0.0,0.0
Chris Bassitt,-0.047617178330169284,0.0,-0.03554863656218109,-0.11328404841192931,-0.10082023001482196,-0.04058905884738102,0.0,0.22066652482247398,0.020417697974057524,0.09677492936995083,0.0
Chris Paddack,-0.15409237082950125,0.0,-0.003329951166095142,0.06816560376972479,-0.029131453043247622,0.0,0.0,0.10216284137245633,0.01622532989666295,0.0,0.0
Clay Holmes,-0.15608947092858746,0.0,0.0,-0.06648923987663805,-0.01702897927011278,0.0,0.0,0.0723366425963472,0.05680713471276618,0.11046391276622496,0.0
Colin Rea,0.0,0.0,-0.16630867487075596,-0.01224358357214027,-0.11407249322526877,-0.1591794955783297,0.0,0.17029217008885494,0.12399074263527055,0.1577592843337567,0.0
Cristopher Sánchez,0.2919769070467376,0.0,0.0,0.0,0.0,0.0,0.0,-0.1371731339217102,-0.15480377312502727,0.0,0.0
David Peterson,0.16380390873808895,0.0,0.058553769508404366,0.0,0.13955868127177135,0.0,0.0,-0.20892394480853904,-0.15299241470972502,0.0,0.0
Davis Martin,-0.20192032685604303,0.0,-0.07513163109451827,-0.027442371566229095,-0.04974742035873174,0.0,0.0,0.1234888474526351,0.16216158194803523,0.07039477985408679,0.0
Dean Kremer,0.0,0.0,-0.13609753915585565,0.28609716215239706,-0.12981024902397256,-0.17665010575505263,0.0,0.15538233057277198,0.0,0.0,0.0
