model_label,exact_2025,exact_2026,top3_2025,top3_2026
HGB current + arsenal,0.4329561960094794,0.3905106827738752,0.8547893891904289,0.8014632604943973
HGB current-game/recent-start,0.4356891674948398,0.3973530055176101,0.863618989373901,0.8290513113439149
HGB recency/matchup + arsenal,0.4363007415335219,0.3855035123113196,0.8604273373595291,0.8051821783622177
Stacked HGB + XGB + state,0.4414035624187753,0.4038550351231132,0.8616122620594756,0.8211151892272915
Stacked HGB + XGB + state + arsenal,0.4414035624187753,0.4038307284703823,0.8620709425884872,0.8189762037869764
State machine + arsenal,0.4229225594373519,0.3741036921805498,0.8422903447748643,0.7836829440217787
XGBoost current-game/recent-start,0.4314272609127743,0.4003305704771396,0.8601788854063145,0.8306555504241511
