target_pitch_type,target_pitch_label,feature,mean_abs_shap
FF,4-seam fastball (FF),Pitcher: Jeffrey Springs,0.000206529403836347
FF,4-seam fastball (FF),Pitcher: Dustin May,0.00018960239484538748
FF,4-seam fastball (FF),Pitcher: Seth Lugo,0.0001777388463882225
FF,4-seam fastball (FF),Pitcher: Andrew Heaney,0.00017352621395553676
FF,4-seam fastball (FF),Pitcher: Zack Wheeler,0.00017292854387858495
FF,4-seam fastball (FF),Base state: -23,0.0001673183372935784
FF,4-seam fastball (FF),Pitcher: Jacob deGrom,0.0001582748239258777
FF,4-seam fastball (FF),Pitcher: Andrew Abbott,0.00015666423834931618
FF,4-seam fastball (FF),Two pitches ago: ST,0.00015340180772048805
FF,4-seam fastball (FF),Previous result: blocked_ball,0.0001518382958999843
FF,4-seam fastball (FF),Pitcher: Brad Lord,0.00014943673621369005
FF,4-seam fastball (FF),Pitcher: Zack Littell,0.0001440790442364671
FF,4-seam fastball (FF),Pitcher: Nick Lodolo,0.0001316034625484231
FF,4-seam fastball (FF),Two pitches ago: CU,0.00013093354434442908
FF,4-seam fastball (FF),Pitcher: Jack Flaherty,0.000130108362892436
FF,4-seam fastball (FF),Base state: --3,0.0001289904800734037
FF,4-seam fastball (FF),Pitcher: MacKenzie Gore,0.00012868476963987928
FF,4-seam fastball (FF),Pitcher: Ryan Pepiot,0.00012444360383740595
FF,4-seam fastball (FF),Pitcher: Brandon Pfaadt,0.00011520868488817737
FF,4-seam fastball (FF),Pitcher: Luis Castillo,0.00011156781182720694
FF,4-seam fastball (FF),Base state: 1-3,0.0001093922162517274
FF,4-seam fastball (FF),Pitcher: Nick Martinez,9.866797981422319e-05
FF,4-seam fastball (FF),Pitcher: Justin Verlander,9.610796643248487e-05
FF,4-seam fastball (FF),Pitcher: Will Warren,9.411783721085606e-05
FF,4-seam fastball (FF),Pitcher: Tanner Bibee,9.378961160534939e-05
FF,4-seam fastball (FF),Pitcher: Garrett Crochet,8.988102872105623e-05
FF,4-seam fastball (FF),Pitcher: Walker Buehler,8.042433591551291e-05
FF,4-seam fastball (FF),Pitcher: Zac Gallen,7.624809659979792e-05
FF,4-seam fastball (FF),Pitcher: Carlos Rodón,7.623221493215437e-05
FF,4-seam fastball (FF),Pitcher: Randy Vásquez,7.352101719946382e-05
FF,4-seam fastball (FF),Pitcher: Gavin Williams,7.233065812333633e-05
FF,4-seam fastball (FF),Pitcher: Casey Mize,6.632345753720393e-05
FF,4-seam fastball (FF),Pitcher: Miles Mikolas,5.8245241391395976e-05
FF,4-seam fastball (FF),Pitcher: Noah Cameron,5.5387267537287216e-05
FF,4-seam fastball (FF),Pitcher: Jack Leiter,5.500862616005328e-05
FF,4-seam fastball (FF),Pitcher: Michael Lorenzen,4.839448901729917e-05
FF,4-seam fastball (FF),Pitcher: Mitch Keller,4.678552833866831e-05
FF,4-seam fastball (FF),Pitcher: Bryan Woo,4.6340242342641296e-05
FF,4-seam fastball (FF),Pitcher: Davis Martin,4.002140687591577e-05
FF,4-seam fastball (FF),Pitcher: Yoshinobu Yamamoto,3.920117454466583e-05
FF,4-seam fastball (FF),Pitcher: David Peterson,3.2256108674954605e-05
FF,4-seam fastball (FF),Pitcher: Chris Paddack,3.212247156089341e-05
FF,4-seam fastball (FF),Previous result: foul_tip,2.7357300170283177e-05
FF,4-seam fastball (FF),Pitcher: Tarik Skubal,2.2297886447419788e-05
FF,4-seam fastball (FF),Pitcher: Dean Kremer,2.11299594769079e-05
FF,4-seam fastball (FF),Pitcher: Taj Bradley,2.067326447751264e-05
FF,4-seam fastball (FF),Pitcher: Slade Cecconi,1.9404900978829185e-05
FF,4-seam fastball (FF),Two pitches ago: FS,1.861328342911007e-05
FF,4-seam fastball (FF),Pitcher: Matthew Liberatore,1.854824829978417e-05
FF,4-seam fastball (FF),Pitcher: Paul Skenes,1.836953963329856e-05
FF,4-seam fastball (FF),Pitcher: Jesús Luzardo,1.6918048504774016e-05
FF,4-seam fastball (FF),Pitcher: Shane Smith,1.6907368859968725e-05
FF,4-seam fastball (FF),Pitcher: Shane Baz,1.638248976302214e-05
FF,4-seam fastball (FF),Base state: 123,1.5898660276507866e-05
FF,4-seam fastball (FF),Pitcher: Kyle Freeland,1.5106581637897075e-05
FF,4-seam fastball (FF),Pitcher: Yusei Kikuchi,1.4535852370706839e-05
FF,4-seam fastball (FF),Pitcher: Luis Severino,1.4290296782388375e-05
FF,4-seam fastball (FF),Pitcher: JP Sears,1.156158112571423e-05
FF,4-seam fastball (FF),Previous pitch: SV,8.914541807119674e-06
FF,4-seam fastball (FF),Pitcher: Germán Márquez,5.831674379497598e-06
FF,4-seam fastball (FF),Pitcher: Hunter Brown,5.572513846235593e-06
FF,4-seam fastball (FF),Pitcher: Bailey Ober,1.8775261909009472e-06
FF,4-seam fastball (FF),Previous result: infrequent_sklearn,0.0
FF,4-seam fastball (FF),Pitcher: Logan Allen,0.0
FF,4-seam fastball (FF),Pitcher: Logan Gilbert,0.0
FF,4-seam fastball (FF),Pitcher: Jake Irvin,0.0
FF,4-seam fastball (FF),Two pitches ago: infrequent_sklearn,0.0
FF,4-seam fastball (FF),Previous pitch: infrequent_sklearn,0.0
FF,4-seam fastball (FF),Previous result: foul_bunt,0.0
FF,4-seam fastball (FF),Pitcher: Drew Rasmussen,0.0
FF,4-seam fastball (FF),Previous result: swinging_strike_blocked,0.0
SI,sinker (SI),Previous pitch: FF,0.03637494768316849
SI,sinker (SI),Previous pitch: SI,0.02379440033154501
SI,sinker (SI),Two pitches ago: FF,0.01667476708988472
SI,sinker (SI),Batter side: L,0.016191151921558258
SI,sinker (SI),strikes,0.015610587021682627
SI,sinker (SI),Two pitches ago: SI,0.014990289739925486
SI,sinker (SI),Batter side: R,0.012089054461838446
SI,sinker (SI),Count: 0-2,0.008381702848434367
SI,sinker (SI),balls,0.008343202304882297
SI,sinker (SI),Previous result: START,0.007125933063553405
SI,sinker (SI),prev release speed,0.007052059399611793
SI,sinker (SI),pitch number,0.0058692339940953344
SI,sinker (SI),Count: 1-2,0.00576807914501118
SI,sinker (SI),Previous result: ball,0.005529666913285424
SI,sinker (SI),Count: 0-0,0.004949413194299478
SI,sinker (SI),Pitcher: Cristopher Sánchez,0.0041738285257957196
SI,sinker (SI),Previous pitch: CH,0.0033627460670352977
SI,sinker (SI),Pitcher: Framber Valdez,0.0032338027527771917
SI,sinker (SI),Previous pitch: FC,0.0030903410250702834
SI,sinker (SI),Pitcher: José Soriano,0.0029435094518497308
SI,sinker (SI),Previous pitch: START,0.0028706638702176357
SI,sinker (SI),Pitcher: Kyle Hendricks,0.0027485823349887987
SI,sinker (SI),Pitcher: Freddy Peralta,0.0024148476250972664
SI,sinker (SI),Previous result: foul,0.0018851019973377384
SI,sinker (SI),Base state: 1--,0.0018499234816985492
SI,sinker (SI),Two pitches ago: START,0.0018020388548785952
