feature,mean_abs_shap,pitch_types
Previous result: blocked_ball,0.00013888022838125428,4
Pitcher: Luis Severino,0.0001344974904977809,4
Pitcher: Hunter Brown,0.00013289793196241098,4
Pitcher: Bailey Ober,0.0001253221806480393,4
Base state: -23,0.00012023490259294778,4
Pitcher: Luis Castillo,0.00012008083575241191,4
Pitcher: Jake Irvin,0.00011894131442030395,4
Pitcher: Jack Leiter,0.00011155403895468843,4
Pitcher: Brad Lord,0.0001065479961130677,4
Pitcher: Paul Skenes,0.00010388197314977577,4
Pitcher: David Peterson,9.796225779567514e-05,4
Pitcher: Seth Lugo,9.659045185208049e-05,4
Pitcher: JP Sears,7.863803330952695e-05,4
Pitcher: Bryan Woo,7.409198346427746e-05,4
Pitcher: Andrew Heaney,7.09065496787479e-05,4
Pitcher: Germán Márquez,4.1988919120139425e-05,4
Pitcher: Shane Smith,4.187605171700161e-05,4
Pitcher: Slade Cecconi,4.1028752250236326e-05,4
Pitcher: Walker Buehler,3.882671473483467e-05,4
Pitcher: Mitch Keller,3.76056173127498e-05,4
Pitcher: Michael Lorenzen,2.4526171431901205e-05,4
Base state: 123,1.3708337912344798e-05,4
Previous result: foul_tip,1.1461532315527941e-05,4
Previous pitch: SV,6.017180268639641e-06,4
Two pitches ago: infrequent_sklearn,0.0,4
Previous result: foul_bunt,0.0,4
Previous result: swinging_strike_blocked,0.0,4
Previous pitch: infrequent_sklearn,0.0,4
Previous result: infrequent_sklearn,0.0,4
