target_pitch_type,target_pitch_label,term,beta,std_error,p_value,n_obs,r_squared
FF,4-seam fastball (FF),Intercept,0.48366309818813585,0.010576251021160353,0.0,209296,0.11756878241399715
FF,4-seam fastball (FF),"C(count, Treatment(reference=""0-0""))[T.0-1]",-0.09723183758226672,0.05369986818121381,0.07019455320189834,209296,0.11756878241399715
FF,4-seam fastball (FF),"C(count, Treatment(reference=""0-0""))[T.0-2]",-0.07325746171854725,0.05381726373153974,0.17344226199547075,209296,0.11756878241399715
FF,4-seam fastball (FF),"C(count, Treatment(reference=""0-0""))[T.1-0]",-0.07698504780945539,0.05366060546772616,0.15138228876645698,209296,0.11756878241399715
FF,4-seam fastball (FF),"C(count, Treatment(reference=""0-0""))[T.1-1]",-0.10736816664082355,0.05376231704672506,0.04581544566084926,209296,0.11756878241399715
FF,4-seam fastball (FF),"C(count, Treatment(reference=""0-0""))[T.1-2]",-0.08965788630704086,0.053775928854841414,0.09546481914903625,209296,0.11756878241399715
FF,4-seam fastball (FF),"C(count, Treatment(reference=""0-0""))[T.2-0]",-0.028505116039993204,0.053943105969522315,0.5972014274420505,209296,0.11756878241399715
FF,4-seam fastball (FF),"C(count, Treatment(reference=""0-0""))[T.2-1]",-0.07496008360094765,0.05384149248842177,0.16385083520875743,209296,0.11756878241399715
FF,4-seam fastball (FF),"C(count, Treatment(reference=""0-0""))[T.2-2]",-0.08822166550458348,0.05378552347554192,0.10095334921236337,209296,0.11756878241399715
FF,4-seam fastball (FF),"C(count, Treatment(reference=""0-0""))[T.3-0]",0.26753252556588425,0.05448084324149314,9.08075150361703e-07,209296,0.11756878241399715
FF,4-seam fastball (FF),"C(count, Treatment(reference=""0-0""))[T.3-1]",0.020090795591352753,0.05410443577687852,0.7103890655903629,209296,0.11756878241399715
FF,4-seam fastball (FF),"C(count, Treatment(reference=""0-0""))[T.3-2]",-0.021059469160751514,0.053854891051872675,0.6957669479874034,209296,0.11756878241399715
FF,4-seam fastball (FF),"C(prev_pitch_type, Treatment(reference=""START""))[T.CH]",0.08396075532575534,0.05375546044320459,0.11831110291392873,209296,0.11756878241399715
FF,4-seam fastball (FF),"C(prev_pitch_type, Treatment(reference=""START""))[T.CS]",0.10699739431526942,0.06336603566487203,0.09130365712052144,209296,0.11756878241399715
FF,4-seam fastball (FF),"C(prev_pitch_type, Treatment(reference=""START""))[T.CU]",0.0630754684514479,0.05377057542644236,0.2407765389453127,209296,0.11756878241399715
FF,4-seam fastball (FF),"C(prev_pitch_type, Treatment(reference=""START""))[T.FC]",0.028609134535187312,0.053758758613239505,0.5946039309277249,209296,0.11756878241399715
FF,4-seam fastball (FF),"C(prev_pitch_type, Treatment(reference=""START""))[T.FF]",0.07847842199430587,0.05368796056124479,0.14380949713189325,209296,0.11756878241399715
FF,4-seam fastball (FF),"C(prev_pitch_type, Treatment(reference=""START""))[T.FS]",0.04460697203693731,0.05411067735547587,0.4097319489608656,209296,0.11756878241399715
FF,4-seam fastball (FF),"C(prev_pitch_type, Treatment(reference=""START""))[T.KC]",0.0364720572708499,0.05422645934345479,0.5012095386297482,209296,0.11756878241399715
FF,4-seam fastball (FF),"C(prev_pitch_type, Treatment(reference=""START""))[T.PO]",-0.07086451780431358,0.11830578520948554,0.5491765345133389,209296,0.11756878241399715
FF,4-seam fastball (FF),"C(prev_pitch_type, Treatment(reference=""START""))[T.SI]",-0.003632934869201937,0.05367962261292991,0.9460418829699584,209296,0.11756878241399715
FF,4-seam fastball (FF),"C(prev_pitch_type, Treatment(reference=""START""))[T.SL]",0.027751237102929625,0.05375525351198492,0.6056786763856923,209296,0.11756878241399715
FF,4-seam fastball (FF),"C(prev_pitch_type, Treatment(reference=""START""))[T.ST]",0.03970866008195915,0.0538118063697248,0.4605647368967316,209296,0.11756878241399715
FF,4-seam fastball (FF),"C(prev_pitch_type, Treatment(reference=""START""))[T.SV]",0.009289802864500018,0.05542261986209047,0.8668841762937854,209296,0.11756878241399715
FF,4-seam fastball (FF),"C(prev_pitch_type, Treatment(reference=""START""))[T.UN]",0.040148874120674964,0.19892755471923282,0.8400522773805383,209296,0.11756878241399715
FF,4-seam fastball (FF),"C(stand, Treatment(reference=""L""))[T.R]",-0.04424659580411664,0.002011588589117922,3.1558262558880036e-107,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Andrew Abbott],0.023059674457302073,0.014974025649570469,0.12356564473376244,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Andrew Heaney],-0.006017636864515092,0.015941653974529412,0.7058177952030265,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Antonio Senzatela],0.12060998198834738,0.015432262808475981,5.4769730208412545e-15,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Bailey Ober],-0.0846288809524392,0.015156662608727544,2.3557772872793805e-08,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Brad Lord],0.042048574857498605,0.015810235876425494,0.007823832740343102,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Brady Singer],-0.3270582424679996,0.012253184711255272,5.877221678103648e-157,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Brandon Pfaadt],-0.2040695076936113,0.013583834876177217,5.1929998397112173e-51,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Brayan Bello],-0.2890818850665482,0.01296209188747251,3.5255217813839673e-110,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Bryan Woo],0.02646275151938816,0.014821754990742774,0.07419656627935095,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Bryce Elder],-0.30922708890731576,0.012622288048883977,1.532631790705814e-132,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Cal Quantrill],-0.2748386040990355,0.01382254558502275,5.67099017360742e-88,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Carlos Rodón],-0.01744808122020804,0.014132158806242249,0.21696576216511076,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Casey Mize],-0.1067436192146109,0.015021500541398825,1.1940625911879173e-12,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Charlie Morton],-0.18157638453407368,0.014287615705350394,5.293682789796658e-37,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Chris Bassitt],-0.33966175138598687,0.012111822872915387,4.7518850142230254e-173,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Chris Paddack],-0.025104018932232425,0.01505365116227078,0.0953878974446931,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Clay Holmes],-0.3748374171721264,0.011582461515823662,9.25446577792596e-230,209296,0.11756878241399715
