model,dataset,rows,exact_accuracy,top2_accuracy,top3_accuracy,macro_f1,avg_probability_actual_pitch,avg_model_confidence,log_loss
hgb_recency_matchup_arsenal_masked,2025_holdout,52324,0.4363007415335219,0.6997553703845272,0.8604273373595291,0.2821353721000413,0.32472152729285086,0.4457008601604418,1.387890887883714
hgb_recency_matchup,2025_holdout,52324,0.4362625181561043,0.6997935937619448,0.8605228958030732,0.28211628863456145,0.32366378038364535,0.44405805660334796,1.329805147333392
hgb_current_features_arsenal_masked,2025_holdout,52324,0.4329561960094794,0.6982073235991132,0.8547893891904289,0.2797393038442274,0.3195193157128004,0.4399080624556045,1.3943537085044881
hgb_current_features,2025_holdout,52324,0.4329561960094794,0.6981117651555692,0.8540822567082027,0.2797403131137614,0.3076585102633091,0.4236911512619658,1.3690711075733295
xgboost_recency_matchup_arsenal_masked,2025_holdout,52324,0.4258657594985093,0.6912124455316871,0.8541204800856204,0.26075586429214115,0.31118423875644047,0.42515438729763405,1.401802208616433
xgboost_recency_matchup,2025_holdout,52324,0.42578931274367404,0.6912506689091048,0.8541778151517468,0.2607169489805895,0.3097783644612816,0.42306625886200017,1.3439543443443909
hgb_current_features_arsenal_masked,2026_to_date,82282,0.3905106827738752,0.6422425317809485,0.8014632604943973,0.22807788678298888,0.29507729028344387,0.43524850305102125,2.4681689862531124
hgb_current_features,2026_to_date,82282,0.3904985294475098,0.6422425317809485,0.8012688072725505,0.2280749998385951,0.2845286053369454,0.41811093246844505,1.5227534433787677
xgboost_recency_matchup,2026_to_date,82282,0.38873629712452296,0.6445759704431103,0.8093386159791935,0.22199868332573774,0.2854805502439223,0.4090943862772634,1.4721074032458021
xgboost_recency_matchup_arsenal_masked,2026_to_date,82282,0.3887119904717921,0.6442964439367055,0.8083785031963249,0.2219839260302492,0.2873934252507333,0.4142486273878606,2.4543809211511913
hgb_recency_matchup_arsenal_masked,2026_to_date,82282,0.38550351231131963,0.6392528134950536,0.8051821783622177,0.23375672658835175,0.29478629634780845,0.438335343634304,2.4799279980062248
hgb_recency_matchup,2026_to_date,82282,0.38543059235312704,0.6395080333487275,0.8061422911450864,0.2336776838306793,0.29328262385628945,0.43393476088800326,1.5028855796153957
